transcript_id	miracidia	sporocyst_48h	cercariae	somule_3h	somule_24h	adult_m_21d	adult_f_21d	adult_m_28d	adult_f_28d	adult_m_38d	adult_f_38d
Smp_201680.1	1.50	4.09	2.19	1.37	1.05	0.67	0.75	0.57	0.57	0.04	0.44
Smp_201690.1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Smp_201700.1	0.14	0.05	0.67	1.58	1.43	0.46	0.37	0.71	0.69	0.34	0.73
Smp_201730.1	0.31	0.62	8.61	8.64	4.62	30.31	33.67	25.27	27.94	13.52	31.46
Smp_201760.1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Smp_201810.1	168.43	90.89	36.25	81.74	9.43	16.29	14.20	12.33	8.97	20.73	9.34
Smp_201820.1	15.04	12.65	14.92	24.36	22.14	9.63	8.28	8.34	8.92	1.70	6.87
Smp_201870.1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Smp_201940.1	0.00	0.00	0.00	51.65	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Smp_201950.1	1.14	1.65	8.62	12.54	13.78	6.05	5.91	5.77	5.71	1.74	4.19
Smp_201970.1	1015.22	1106.01	340.34	285.18	226.78	87.90	151.52	129.76	112.52	38.95	189.92
Smp_202010.1	0.16	0.45	0.87	8.55	0.00	0.00	0.00	0.51	0.53	0.00	0.00
Smp_202120.1	0.03	0.00	0.35	0.14	6.43	0.44	0.63	0.45	0.63	0.07	0.49
Smp_202130.1	3.19	2.12	21.78	111.94	233.55	418.79	525.74	398.78	504.49	111.56	501.22
Smp_202130.2	0.06	0.04	0.46	7.40	6.42	3.66	2.17	2.19	2.29	0.19	1.22
Smp_202170.1	4.27	15.53	18.86	23.66	45.11	14.35	14.45	11.69	11.04	5.55	12.39
Smp_202180.1	0.38	0.18	0.00	4.62	0.00	0.64	0.00	0.00	0.00	0.00	0.00
Smp_202190.1	0.01	0.01	1.26	3.01	0.10	0.01	0.04	0.02	0.05	0.00	0.05
Smp_202200.1	0.07	0.13	5.23	0.59	2.51	1.88	1.25	0.29	1.35	0.49	0.85
Smp_202220.1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Smp_202260.1	0.93	0.11	13.92	3.96	0.27	14.76	13.67	16.58	16.70	7.69	14.69
Smp_202350.1	1.00	1.25	0.34	9.81	0.64	0.30	0.10	0.72	0.25	0.27	0.28
Smp_202370.1	0.16	0.30	0.00	22.80	0.00	0.46	1.27	0.51	0.53	0.00	0.00
Smp_202400.1	20.52	26.15	19.02	25.57	27.49	36.09	33.98	12.78	14.24	9.25	18.28
Smp_202470.1	1.36	1.76	35.82	19.45	13.44	7.13	8.59	6.45	7.60	1.82	7.10
Smp_202480.1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Smp_202580.1	0.22	0.21	1.48	6.31	1.99	4.97	4.85	3.45	3.09	4.33	3.31
Smp_202610.1	0.00	0.00	1.53	5.64	40.67	468.75	252.42	842.55	745.19	751.28	709.46
Smp_202610.2	0.00	0.00	0.80	0.00	3.13	80.48	38.72	115.35	125.78	109.44	102.36
Smp_202620.1	14.85	13.36	13.67	83.37	0.00	36.40	28.64	22.37	15.93	14.44	31.28
Smp_202630.1	3.94	5.32	15.27	10.01	44.45	23.52	20.13	14.82	15.08	5.65	17.64
Smp_202660.1	0.29	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Smp_202680.1	375.54	238.12	179.36	190.60	295.68	236.18	225.67	202.89	225.93	197.21	245.85
Smp_202690.1	1.32	5.54	4.61	64.73	68.64	85.26	101.68	128.22	114.81	191.85	113.94
Smp_202700.1	430.58	1076.70	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.07	0.12
Smp_202700.2	453.02	1160.79	7.08	0.67	0.00	0.00	0.00	0.00	0.00	0.09	0.11
Smp_202720.1	2.00	0.33	0.11	1.65	0.57	0.06	0.00	0.00	0.04	0.07	0.02
Smp_202720.2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Smp_202770.1	1297.07	822.61	322.11	921.03	120.20	196.20	190.49	173.85	146.54	264.82	112.46
Smp_202850.1	0.00	0.00	2.32	0.00	4.34	0.00	0.00	0.12	0.04	0.00	0.00
Smp_202850.2	7.69	6.82	5.92	30.70	17.62	1.32	1.00	0.56	0.38	0.43	0.33
Smp_202920.1	2.90	4.47	2.63	2.90	8.17	23.13	22.70	19.85	23.49	5.36	28.60
Smp_202970.1	0.00	0.00	4.39	1.17	0.42	0.00	0.24	17.28	4.54	44.79	2.49
Smp_202980.1	70.61	166.87	35.60	28.94	69.94	218.21	229.63	210.36	193.40	201.55	206.33
Smp_202990.1	0.18	0.00	0.00	15.13	0.00	0.56	0.00	0.00	0.64	0.00	0.00
